state,state_name,golfable_year_round,notes
AL,Alabama,1,"Generally warm; many courses open year-round in southern/central parts"
AK,Alaska,0,"Short season due to cold winters"
AZ,Arizona,1,"Most of state (esp. Phoenix/Tucson) supports year-round golf"
AR,Arkansas,0,"Seasonal limitations in winter"
CA,California,1,"Large parts of state support year-round golf (coastal and southern areas)"
CO,Colorado,0,"High elevation limits year-round play"
CT,Connecticut,0,"Seasonal"
DE,Delaware,0,"Seasonal"
FL,Florida,1,"Year-round golf generally available"
GA,Georgia,1,"Southern areas support year-round play"
HI,Hawaii,1,"Year-round playground for golf"
ID,Idaho,0,"Seasonal"
IL,Illinois,0,"Seasonal"
IN,Indiana,0,"Seasonal"
IA,Iowa,0,"Seasonal"
KS,Kansas,0,"Seasonal"
KY,Kentucky,0,"Seasonal"
LA,Louisiana,1,"Mild winters allow year-round golf in many areas"
ME,Maine,0,"Seasonal"
MD,Maryland,0,"Seasonal"
MA,Massachusetts,0,"Seasonal"
MI,Michigan,0,"Seasonal"
MN,Minnesota,0,"Seasonal"
MS,Mississippi,1,"Mild winters enable year-round play in many areas"
MO,Missouri,0,"Seasonal"
MT,Montana,0,"Seasonal"
NE,Nebraska,0,"Seasonal"
NV,Nevada,0,"Desert areas (southern NV) can play year-round, but statewide marked as 0 by default"
NH,New Hampshire,0,"Seasonal"
NJ,New Jersey,0,"Seasonal"
NM,New Mexico,0,"Higher elevation and winters limit year-round in many areas"
NY,New York,0,"Seasonal"
NC,North Carolina,0,"Some southern areas milder, but seasonal overall"
ND,North Dakota,0,"Seasonal"
OH,Ohio,0,"Seasonal"
OK,Oklahoma,0,"Seasonal"
OR,Oregon,0,"Seasonal"
PA,Pennsylvania,0,"Seasonal"
RI,Rhode Island,0,"Seasonal"
SC,South Carolina,1,"Many areas support near-year-round play"
SD,South Dakota,0,"Seasonal"
TN,Tennessee,0,"Seasonal"
TX,Texas,1,"Large southern parts support year-round golf"
UT,Utah,0,"Seasonal"
VT,Vermont,0,"Seasonal"
VA,Virginia,0,"Seasonal"
WA,Washington,0,"Seasonal"
WV,West Virginia,0,"Seasonal"
WI,Wisconsin,0,"Seasonal"
WY,Wyoming,0,"Seasonal"
