city,state,num_golf_courses,avg_rating,sum_ratings_count,avg_length_yards,state_golfable,score,rank
Naples,Florida,49,4.49,18775,6514.7,0,0.7182287278985586,1
Scottsdale,Arizona,35,4.37,27347,6436.2,0,0.6376290957194795,2
Orlando,Florida,28,4.26,29150,6289.0,0,0.5771089495312499,3
Las Vegas,Nevada,32,4.18,23858,6443.7,0,0.562051436180016,4
Tucson,Arizona,28,4.17,21214,5656.0,0,0.5218610122656492,5
Phoenix,Arizona,24,4.09,28721,6202.8,0,0.5118260456146747,6
Fort Myers,Florida,27,4.33,8841,6263.3,0,0.49708781645961014,7
Cincinnati,Ohio,29,4.35,2329,5093.5,0,0.4870324873788956,8
Bradenton,Florida,19,4.32,18897,5577.5,0,0.4862115134250655,9
Palm Desert,California,21,4.27,18111,5877.1,0,0.4854795052473998,10
Mesa,Arizona,22,4.05,24684,5434.6,0,0.471718047996931,11
Hilton Head Island,South Carolina,21,4.26,14272,6400.9,0,0.46765059435471984,12
La Quinta,California,13,4.57,9845,6629.2,0,0.464375956906148,13
Bloomfield Hills,Michigan,5,5.0,8,3139.8,0,0.46357168484910855,14
Dallas,Pennsylvania,4,5.0,6,4693.2,0,0.45705269155888706,15
Daly City,California,4,4.98,17,5607.8,0,0.4518920450978136,16
Raleigh,North Carolina,14,4.57,5280,5992.5,0,0.4510434032896641,17
Mamaroneck,New York,3,5.0,7,6622.7,0,0.4505465632039978,18
Banner Elk,North Carolina,3,5.0,6,4278.0,0,0.4505422748922204,19
Wausau,Wisconsin,3,5.0,3,3755.7,0,0.4505294099568881,20
Saint Paul,Minnesota,21,4.42,893,5592.0,0,0.44482439566795823,21
Mandeville,Louisiana,2,5.0,6,,0,0.44403185822555374,22
Wayne,Pennsylvania,2,5.0,6,1585.0,0,0.44403185822555374,23
Newburgh,Indiana,2,5.0,6,6955.0,0,0.44403185822555374,24
Clementon,New Jersey,2,5.0,5,6969.0,0,0.4440275699137763,25
Brookfield,Wisconsin,2,5.0,5,5832.0,0,0.4440275699137763,26
Wayzata,Minnesota,2,5.0,4,6794.5,0,0.4440232816019989,27
Huron,South Dakota,2,5.0,4,5168.5,0,0.4440232816019989,28
Metairie,Louisiana,2,5.0,4,6600.0,0,0.4440232816019989,29
Sapphire,North Carolina,2,5.0,3,6749.5,0,0.4440189932902215,30
Pittsford,New York,2,5.0,3,6683.0,0,0.4440189932902215,31
Blue Bell,Pennsylvania,2,5.0,3,6994.5,0,0.4440189932902215,32
Venango,Pennsylvania,2,5.0,3,6236.5,0,0.4440189932902215,33
Kamas,Utah,2,5.0,3,7533.0,0,0.4440189932902215,34
Deal,New Jersey,2,5.0,3,6654.5,0,0.4440189932902215,35
Darien,Connecticut,2,5.0,3,6858.5,0,0.4440189932902215,36
Southampton,New York,2,5.0,3,7141.0,0,0.4440189932902215,37
Newburgh,New York,2,5.0,3,4449.0,0,0.4440189932902215,38
Flourtown,Pennsylvania,2,5.0,3,2884.0,0,0.4440189932902215,39
Sammamish,Washington,2,5.0,3,7160.0,0,0.4440189932902215,40
New London,New Hampshire,2,5.0,3,4124.0,0,0.4440189932902215,41
Chevy Chase,Maryland,2,5.0,2,6674.0,0,0.44401470497844403,42
Vienna,West Virginia,2,5.0,2,3770.0,0,0.44401470497844403,43
Ada,Oklahoma,2,5.0,2,4769.0,0,0.44401470497844403,44
East Aurora,New York,2,5.0,2,6659.0,0,0.44401470497844403,45
Lake Elmo,Minnesota,2,5.0,2,0.0,0,0.44401470497844403,46
Little Falls,New York,2,5.0,2,3170.5,0,0.44401470497844403,47
Cazenovia,New York,2,5.0,2,3141.5,0,0.44401470497844403,48
Covington,Virginia,2,5.0,2,4493.0,0,0.44401470497844403,49
Lincoln,Rhode Island,2,5.0,2,4730.5,0,0.44401470497844403,50
Brewster,Washington,3,4.96,27,7169.0,0,0.4429566420437127,51
Keene,New Hampshire,2,4.98,8,6119.0,0,0.44039460516160867,52
Pikesville,Maryland,2,4.98,9,6717.5,0,0.43957908409838614,53
Laguna Hills,California,1,5.0,20,,0,0.4375814779237709,54
New York,New York,1,5.0,9,,0,0.4375343064942193,55
Vancleave,Mississippi,1,5.0,9,6775.0,0,0.4375343064942193,56
North Anson,Maine,1,5.0,8,,0,0.43753001818244186,57
